,STT_NAAM,MAX_SNELHEID,WKT_LAT_LNG
2466,Postjesweg,50,"52.364095 4.838195,52.364111 4.838276,52.364126 4.838516,52.364118 4.838691,52.364102 4.838814"
2473,Postjesweg,50,"52.364086 4.837113,52.364095 4.838195"
2478,Postjesweg,50,"52.364007 4.834439,52.364045 4.835102"
2494,Postjesweg,50,"52.364304 4.854148,52.3643 4.855208"
2495,Postjesweg,50,"52.364147 4.843913,52.364108 4.843937,52.36405 4.844045,52.364039 4.844079,52.364029 4.844154"
2498,Postjesweg,50,"52.36479 4.858427,52.364847 4.859273,52.364837 4.859413,52.36481 4.859519"
2504,Postjesweg,50,"52.364287 4.852199,52.364299 4.852959,52.364303 4.853063"
2508,Hobbemakade,50,"52.357614 4.886259,52.356876 4.886208,52.356661 4.886211,52.355699 4.88628"
2510,Postjesweg,50,"52.364102 4.838814,52.364117 4.839934"
2511,Postjesweg,50,"52.3643 4.855208,52.364301 4.85547,52.36432 4.855602,52.364593 4.856435,52.364666 4.856772,52.364667 4.856831"
2512,Postjesweg,50,"52.364095 4.838195,52.364081 4.838279,52.364072 4.838511,52.364081 4.838683,52.364102 4.838814"
2517,Postjesweg,50,"52.364089 4.84028,52.364049 4.840307,52.364027 4.840357,52.364009 4.840457"
2519,Hobbemakade,50,"52.352309 4.886095,52.352382 4.886112,52.352859 4.886136,52.352976 4.886164,52.353147 4.886236,52.353408 4.886362"
2524,De Boelelaan,50,"52.334704 4.88446,52.334707 4.884785"
2525,De Boelelaan,50,"52.335018 4.865195,52.33502 4.86766"
2529,Van Baerlestraat,50,"52.353696 4.881616,52.353236 4.881905"
2538,Van Baerlestraat,50,"52.358914 4.878098,52.358974 4.878045,52.359022 4.877974,52.359452 4.877681"
2540,De Boelelaan,50,"52.335001 4.875715,52.334992 4.875847,52.335016 4.87749"
2555,De Boelelaan,50,"52.335007 4.868937,52.334997 4.869688"
2566,De Boelelaan,50,"52.335248 4.857444,52.335253 4.857686"
2581,De Boelelaan,50,"52.334663 4.887031,52.334655 4.887295"
2586,De Boelelaan,50,"52.335016 4.87749,52.335039 4.878399,52.335058 4.878575"
2587,Van Baerlestraat,50,"52.355297 4.880487,52.354769 4.880874"
