STT_NAAM,AUTO,WKT_LAT_LNG,number
Gooiseweg,plus,"52.33422 4.946689,52.334011 4.947059,52.333743 4.947516,52.333529 4.947856,52.333269 4.948225,52.333046 4.948491,52.331998 4.949514,52.331228 4.950241",156
Europaplein,plus,"52.340728 4.892516,52.340794 4.892456,52.34084 4.892383",157
Van Nijenrodeweg,plus,"52.327879 4.868756,52.327889 4.869005",158
Europaplein,plus,"52.341142 4.89218,52.341911 4.89232",159
Van Nijenrodeweg,plus,"52.327929 4.878261,52.327985 4.878598,52.32806 4.879477",160
Gooiseweg,plus,"52.330233 4.95116,52.329732 4.951649,52.328523 4.952746,52.328478 4.952791,52.32837 4.95288,52.327367 4.95377,52.325772 4.955193,52.325584 4.955357",161
Gooiseweg,plus,"52.325584 4.955357,52.324437 4.956292",162
Baden Powellweg,plus,"52.35241 4.793172,52.350941 4.793971",163
Europaplein,plus,"52.341142 4.89218,52.340945 4.892248,52.34084 4.892383",164
Baden Powellweg,plus,"52.35352 4.792564,52.352492 4.793128",165
Gooiseweg,plus,"52.330422 4.951261,52.328622 4.952892,52.328586 4.952936,52.328532 4.952981,52.327511 4.9539,52.327404 4.953989,52.326266 4.954998,52.325576 4.955577",166
Baden Powellweg,plus,"52.362907 4.787513,52.360012 4.789064",167
Baden Powellweg,plus,"52.352492 4.793128,52.35241 4.793172",168
Europaplein,plus,"52.341094 4.892564,52.340859 4.892536",169
Europaplein,plus,"52.344126 4.890594,52.343941 4.890671,52.343249 4.89132",170
Van Nijenrodeweg,plus,"52.327891 4.875503,52.327902 4.876163,52.327929 4.878261",171
Europaplein,plus,"52.340687 4.892134,52.340761 4.892217,52.340811 4.892317,52.340859 4.892536",172
Baden Powellweg,plus,"52.350488 4.794241,52.349902 4.794601,52.349651 4.794795,52.349508 4.794973,52.349294 4.795285,52.34908 4.79561,52.349017 4.79567",173
Europaplein,plus,"52.341866 4.892608,52.341974 4.892599",174
Europaplein,plus,"52.344261 4.890264,52.344216 4.890354,52.344186 4.890478,52.344126 4.890594",175
Van Nijenrodeweg,plus,"52.328787 4.889825,52.328789 4.890192",176
Baden Powellweg,plus,"52.350466 4.794153,52.350098 4.794349,52.349812 4.794558,52.349696 4.794663,52.349579 4.794782,52.349427 4.794975,52.34924 4.795241,52.34908 4.795522,52.349017 4.79567",177
Van Nijenrodeweg,plus,"52.328092 4.882542,52.328023 4.883409,52.327971 4.883805",178
Gooiseweg,plus,"52.331228 4.950241,52.330233 4.95116",179
Van Nijenrodeweg,plus,"52.32793 4.88253,52.327942 4.88341,52.327971 4.883805",180
Van Nijenrodeweg,plus,"52.32806 4.879477,52.328092 4.882542",181
Van Nijenrodeweg,plus,"52.328698 4.889826,52.328699 4.890193",182
Baden Powellweg,plus,"52.347587 4.798372,52.347624 4.798427,52.34768 4.79846,52.347743 4.798456,52.34778 4.798425,52.347822 4.79838",183
Gooiseweg,plus,"52.334322 4.94684,52.334191 4.947057,52.333914 4.947529,52.333601 4.948031,52.333369 4.948386,52.333163 4.948637,52.332062 4.949734,52.331444 4.950297",184
Baden Powellweg,plus,"52.357959 4.790149,52.357207 4.790555,52.356447 4.790979",185
Europaplein,plus,"52.341911 4.89232,52.342019 4.892333",186
Baden Powellweg,plus,"52.350771 4.793973,52.350941 4.793971",187
Europaplein,plus,"52.34403 4.890824,52.343738 4.891099,52.343236 4.891615",188
Oude Haagseweg,plus,"52.336356 4.815438,52.336361 4.815528,52.336398 4.81566,52.336762 4.816609,52.336889 4.81693,52.33699 4.817266,52.337072 4.817603,52.337091 4.817735",189
Beethovenstraat,hoofd,"52.343911 4.876566,52.342752 4.876682,52.341836 4.876737",190
Surinamestraat,plus,"52.358254 4.853824,52.358165 4.854046,52.358068 4.854385,52.357997 4.854591",191
Oude Haagseweg,plus,"52.336903 4.817825,52.336976 4.818147,52.337023 4.818454,52.337089 4.819143,52.33711 4.819788,52.337096 4.82061,52.337099 4.82143,52.337077 4.822283,52.33707 4.822782,52.337047 4.82538,52.33705 4.826142,52.337088 4.82645,52.337134 4.826714,52.337198 4.826918,52.33728 4.827152,52.337407 4.827385,52.337524 4.82756,52.337633 4.827676,52.337759 4.827777,52.337858 4.827805,52.33793 4.827833,52.338038 4.827861,52.338119 4.827891,52.338416 4.827886,52.338515 4.827899,52.338649 4.827898,52.33873 4.827911,52.338955 4.827909,52.339063 4.827922,52.339173 4.827928",192
Beethovenstraat,hoofd,"52.341836 4.876737,52.341728 4.876767,52.341126 4.876789,52.341045 4.876834",193
Beethovenstraat,hoofd,"52.341828 4.876957,52.341091 4.877039,52.34101 4.877037",194
Beethovenstraat,hoofd,"52.339846 4.876808,52.339589 4.876748,52.339373 4.876706,52.339121 4.876665,52.339014 4.876642",195
Beethovenstraat,hoofd,"52.344926 4.876452,52.346878 4.876708",196
Beethovenstraat,hoofd,"52.344929 4.876663,52.343921 4.876742",197
Beethovenstraat,hoofd,"52.344929 4.876663,52.346887 4.876899",198
Beethovenstraat,hoofd,"52.344926 4.876452,52.343911 4.876566",199
Beethovenstraat,hoofd,"52.340857 4.876866,52.340677 4.876882,52.340308 4.876887,52.34012 4.876859,52.339846 4.876808",200
Noordzeekanaalweg,plus,"52.429223 4.738517,52.429101 4.738686,52.428984 4.738838,52.428859 4.738969,52.428772 4.739054,52.42869 4.739119",201
Beethovenstraat,hoofd,"52.340916 4.877032,52.340408 4.877017,52.34003 4.876992,52.339814 4.876945",202
Beethovenstraat,hoofd,"52.339814 4.876945,52.339715 4.876923,52.339025 4.876841",203
Surinamestraat,plus,"52.358343 4.853647,52.358263 4.853795,52.358254 4.853824",204
Surinamestraat,plus,"52.358163 4.853517,52.358119 4.853709,52.35811 4.853782,52.357891 4.854519",205
Beethovenstraat,hoofd,"52.340857 4.876866,52.341045 4.876834",206
Oude Haagseweg,plus,"52.335901 4.814887,52.33592 4.81527,52.336002 4.815548,52.33631 4.816145,52.33671 4.817094,52.336903 4.817825",207
Oude Haagseweg,plus,"52.33636 4.815294,52.336352 4.815382,52.336356 4.815438",208
Beethovenstraat,hoofd,"52.343921 4.876742,52.341828 4.876957",209
Oude Haagseweg,plus,"52.337091 4.817735,52.337137 4.818013,52.337193 4.818379,52.337231 4.818726,52.337261 4.819113,52.337268 4.819446,52.337271 4.819957,52.337256 4.821431,52.337238 4.824086,52.337235 4.825216,52.337237 4.825788,52.337248 4.826081,52.337267 4.826301,52.337304 4.826579,52.33735 4.826784,52.337414 4.826974,52.337495 4.827149,52.337586 4.82728,52.337694 4.827411,52.337857 4.827526,52.337938 4.827569,52.338037 4.827597,52.339169 4.827583",210
Valkenburgerstraat,plus,"52.368939 4.905163,52.369029 4.905169,52.369627 4.906828,52.36998 4.907733,52.370105 4.908075,52.37008 4.908177",211
Valkenburgerstraat,plus,"52.369996 4.908038,52.370011 4.908178,52.370085 4.908435,52.370152 4.908509",212
Valkenburgerstraat,plus,"52.370152 4.908509,52.370174 4.90871,52.370335 4.90913,52.370503 4.909508",213
Dolingadreef,plus,"52.317228 4.950396,52.317149 4.950461",214
