,pand_id,road_ids
584,363100012141876.0,[]
585,363100012148898.0,[]
586,363100012066447.0,[]
587,363100012131433.0,[]
588,363100012137582.0,[]
589,363100012076340.0,[]
590,363100012064037.0,[]
591,363100012137198.0,[]
592,363100012063468.0,[]
593,363100012156889.0,[]
594,363100012083563.0,[]
595,363100012152496.0,[]
596,363100012090486.0,[]
597,363100012160601.0,[]
598,363100012068295.0,[]
599,363100012154202.0,[]
600,363100012092490.0,[]
601,363100012158236.0,[]
602,363100012106328.0,[]
603,363100012158886.0,[]
604,363100012086336.0,[]
605,363100012166557.0,[]
606,363100012115312.0,[]
607,363100012152778.0,[]
608,363100012144373.0,[]
609,363100012161704.0,[]
610,363100012118119.0,[]
611,363100012159139.0,[]
612,363100012130246.0,[]
613,363100012088363.0,[]
614,363100012090461.0,[]
615,363100012100364.0,[]
616,363100012146383.0,[]
617,363100012145159.0,[]
618,363100012156355.0,[]
619,363100012166422.0,[]
620,363100012152682.0,[]
621,363100012135740.0,[]
622,363100012154617.0,[]
623,363100012085060.0,[]
624,363100012094518.0,[]
625,363100012145863.0,[]
626,363100012138929.0,[]
627,363100012106618.0,[]
628,363100012122461.0,[]
629,363100012143244.0,[]
630,363100012099249.0,[]
631,363100012076908.0,[]
632,363100012133358.0,[]
633,363100012086773.0,[]
634,363100012069443.0,"[[[52.357221, 4.926924], [52.356405, 4.927417], [52.356317, 4.927601]], [[52.356556, 4.927574], [52.356451, 4.927637], [52.356317, 4.927601]], [[52.356155, 4.92652], [52.356331, 4.927322], [52.356317, 4.927601]]]"
635,363100012097774.0,"[[[52.356556, 4.927574], [52.356451, 4.927637], [52.356317, 4.927601]]]"
636,363100012236677.0,[]
637,363100012240255.0,"[[[52.357404, 4.927803], [52.357589, 4.9285], [52.357862, 4.929805]]]"
638,363100012240377.0,[]
639,363100012240378.0,[]
640,363100012240379.0,[]
641,363100012157112.0,[]
642,363100012242645.0,[]
643,363100012242646.0,[]
644,363100012242647.0,[]
645,363100012240380.0,[]
646,363100012142363.0,"[[[52.357575, 4.932775], [52.357541, 4.932561], [52.357451, 4.932391], [52.357374, 4.932291]]]"
647,363100012233553.0,"[[[52.357575, 4.932775], [52.357541, 4.932561], [52.357451, 4.932391], [52.357374, 4.932291]], [[52.356527, 4.933243], [52.356844, 4.933073], [52.35688, 4.933008], [52.356877, 4.932936], [52.356843, 4.932759], [52.356849, 4.932653]]]"
648,363100012240691.0,"[[[52.357575, 4.932775], [52.357541, 4.932561], [52.357451, 4.932391], [52.357374, 4.932291]]]"
649,363100012241534.0,"[[[52.359354, 4.932319], [52.359139, 4.932483], [52.358485, 4.932886]]]"
650,363100012242968.0,"[[[52.359354, 4.932319], [52.359139, 4.932483], [52.358485, 4.932886]]]"
651,363100012245518.0,"[[[52.357575, 4.932775], [52.357541, 4.932561], [52.357451, 4.932391], [52.357374, 4.932291]]]"
652,363100012245519.0,"[[[52.357575, 4.932775], [52.357541, 4.932561], [52.357451, 4.932391], [52.357374, 4.932291]]]"
653,363100012245520.0,"[[[52.357575, 4.932775], [52.357541, 4.932561], [52.357451, 4.932391], [52.357374, 4.932291]]]"
